Data_incidente;Latitudine;Longitudine;Centro_abitato;Tipo_di_strada;Caratteristiche_della_strada;Stato_fondo_stradale;Tipo_pavimentazione;Condizioni_meteo;Condizioni_traffico;Danni_a_cose;Incidente_con_lesioni;Inviata_ore;Sul_posto_ore;DIFF. Intervento
12/05/2023;4.115.077;1.676.701;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Normale;no;no;17:40;17:50;10
12/05/2023;41.1;1.688.702;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;si;21:35;21:45;10
12/05/2023;4.112.288;1.679.837;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;21:30;22:00;30
13/05/2023;4.112.089;1.686.124;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;si;02:20;02:25;5
13/05/2023;4.111.025;1.685.342;si;Strada Urbana;Rotatoria;Asciutto;Asfaltata;Sereno;Scarso;si;no;02:50;02:55;5
13/05/2023;4.112.502;1.687.198;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Normale;no;no;00:00;00:00;0
13/05/2023;411.226.564;168.572.398;si;Strada Urbana;Incrocio;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;si;11:15;11:25;10
13/05/2023;4.110.679;1.687.498;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;no;12:40;12:50;10
13/05/2023;4.112.682;1.678.533;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;no;14:10;14:30;20
13/05/2023;4.111.481;1.687.803;si;Strada Urbana;Incrocio;Bagnato (pioggia);Asfaltata;Pioggia in atto;Scarso;no;si;15:52;15:55;3
13/05/2023;4.112.486;1.687.207;si;Strada Urbana;Incrocio;Bagnato (pioggia);Asfaltata;Pioggia in atto;Intenso;no;no;18:55;19:10;15
13/05/2023;4.111.131;1.686.762;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;si;21:45;21:55;10
13/05/2023;4.110.258.283;1.690.866.941;si;Strada Urbana;Intersezione semaforizzata;Bagnato (pioggia);Asfaltata;Pioggia in atto;Scarso;no;si;00:15;00:20;5
14/05/2023;4.108.743.832;1.698.647.502;si;Statale entro l'abitato;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Scarso;si;si;03:10;03:20;10
14/05/2023;4.110.724;1.686.217;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;si;10:15;10:25;10
14/05/2023;4.112.505;16.86;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;12:00;12:05;5
14/05/2023;4.112.325;16.804;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Vento forte;Normale;no;si;12:35;12:50;15
14/05/2023;4.112.535;1.687.339;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;no;13:10;13:15;5
14/05/2023;411.031;168.497;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;si;no;18:50;19:00;10
15/05/2023;410.674.646;168.627.649;si;Strada Urbana;Incrocio;Bagnato (pioggia);Asfaltata;Pioggia in atto;Scarso;no;no;00:15;00:30;15
15/05/2023;4.115.048;167.817;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;si;no;07:35;07:45;10
15/05/2023;4.110.992;1.689.026;si;Strada Urbana;Pendenza;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;no;12:40;12:50;10
15/05/2023;4.108.723.196;1.698.667.549;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;si;si;13:45;13:55;10
15/05/2023;4.108.719;169.879;si;Strada Urbana;Intersezione stradale segnalata;Bagnato (umidita' in atto);Asfaltata;Nuvoloso;Intenso;no;no;17:25;17:30;5
