NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore0
Altamura - Via Santeramo;19/07/2023;Bari;Altamura;O3;143
Altamura - Via Santeramo;20/07/2023;Bari;Altamura;O3;128
Altamura - Via Santeramo;21/07/2023;Bari;Altamura;O3;93
Altamura - Via Santeramo;22/07/2023;Bari;Altamura;O3;92
Altamura - Via Santeramo;23/07/2023;Bari;Altamura;O3;101
Altamura - Via Santeramo;24/07/2023;Bari;Altamura;O3;103
Altamura - Via Santeramo;25/07/2023;Bari;Altamura;O3;101
Altamura - Via Santeramo;26/07/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;27/07/2023;Bari;Altamura;O3;97
Altamura - Via Santeramo;28/07/2023;Bari;Altamura;O3;109
Altamura - Via Santeramo;29/07/2023;Bari;Altamura;O3;127
Altamura - Via Santeramo;30/07/2023;Bari;Altamura;O3;120
Altamura - Via Santeramo;31/07/2023;Bari;Altamura;O3;97
Altamura - Via Santeramo;01/08/2023;Bari;Altamura;O3;99
Altamura - Via Santeramo;02/08/2023;Bari;Altamura;O3;90
Altamura - Via Santeramo;03/08/2023;Bari;Altamura;O3;84
Altamura - Via Santeramo;04/08/2023;Bari;Altamura;O3;88
Altamura - Via Santeramo;05/08/2023;Bari;Altamura;O3;80
Altamura - Via Santeramo;06/08/2023;Bari;Altamura;O3;98
Altamura - Via Santeramo;07/08/2023;Bari;Altamura;O3;101
Altamura - Via Santeramo;08/08/2023;Bari;Altamura;O3;91
Altamura - Via Santeramo;09/08/2023;Bari;Altamura;O3;97
Altamura - Via Santeramo;10/08/2023;Bari;Altamura;O3;113
Altamura - Via Santeramo;11/08/2023;Bari;Altamura;O3;92
Altamura - Via Santeramo;12/08/2023;Bari;Altamura;O3;102
Altamura - Via Santeramo;13/08/2023;Bari;Altamura;O3;112
Altamura - Via Santeramo;14/08/2023;Bari;Altamura;O3;120
Altamura - Via Santeramo;15/08/2023;Bari;Altamura;O3;118
Altamura - Via Santeramo;16/08/2023;Bari;Altamura;O3;115
Altamura - Via Santeramo;17/08/2023;Bari;Altamura;O3;115
Altamura - Via Santeramo;18/08/2023;Bari;Altamura;O3;111
Altamura - Via Santeramo;19/08/2023;Bari;Altamura;O3;112
Altamura - Via Santeramo;20/08/2023;Bari;Altamura;O3;117
Altamura - Via Santeramo;21/08/2023;Bari;Altamura;O3;104
Altamura - Via Santeramo;22/08/2023;Bari;Altamura;O3;111
Altamura - Via Santeramo;23/08/2023;Bari;Altamura;O3;113
Altamura - Via Santeramo;24/08/2023;Bari;Altamura;O3;118
Altamura - Via Santeramo;25/08/2023;Bari;Altamura;O3;137
Altamura - Via Santeramo;26/08/2023;Bari;Altamura;O3;129
Altamura - Via Santeramo;27/08/2023;Bari;Altamura;O3;116
Altamura - Via Santeramo;28/08/2023;Bari;Altamura;O3;108
Altamura - Via Santeramo;29/08/2023;Bari;Altamura;O3;79
Altamura - Via Santeramo;30/08/2023;Bari;Altamura;O3;90
Altamura - Via Santeramo;31/08/2023;Bari;Altamura;O3;88
Altamura - Via Santeramo;01/09/2023;Bari;Altamura;O3;103
Altamura - Via Santeramo;02/09/2023;Bari;Altamura;O3;99
Altamura - Via Santeramo;03/09/2023;Bari;Altamura;O3;105
Altamura - Via Santeramo;04/09/2023;Bari;Altamura;O3;105
Altamura - Via Santeramo;05/09/2023;Bari;Altamura;O3;85
Altamura - Via Santeramo;06/09/2023;Bari;Altamura;O3;94
Altamura - Via Santeramo;07/09/2023;Bari;Altamura;O3;93
Altamura - Via Santeramo;08/09/2023;Bari;Altamura;O3;93
Altamura - Via Santeramo;09/09/2023;Bari;Altamura;O3;102
Altamura - Via Santeramo;10/09/2023;Bari;Altamura;O3;107
Altamura - Via Santeramo;11/09/2023;Bari;Altamura;O3;108
Altamura - Via Santeramo;12/09/2023;Bari;Altamura;O3;111
Altamura - Via Santeramo;13/09/2023;Bari;Altamura;O3;115
Altamura - Via Santeramo;14/09/2023;Bari;Altamura;O3;110
Altamura - Via Santeramo;15/09/2023;Bari;Altamura;O3;111
Altamura - Via Santeramo;16/09/2023;Bari;Altamura;O3;102
Altamura - Via Santeramo;17/09/2023;Bari;Altamura;O3;100
Altamura - Via Santeramo;18/09/2023;Bari;Altamura;O3;101
Altamura - Via Santeramo;19/09/2023;Bari;Altamura;O3;84
Altamura - Via Santeramo;20/09/2023;Bari;Altamura;O3;101
Altamura - Via Santeramo;21/09/2023;Bari;Altamura;O3;78
Altamura - Via Santeramo;22/09/2023;Bari;Altamura;O3;81
Altamura - Via Santeramo;23/09/2023;Bari;Altamura;O3;70
Altamura - Via Santeramo;24/09/2023;Bari;Altamura;O3;96
Altamura - Via Santeramo;25/09/2023;Bari;Altamura;O3;76
Altamura - Via Santeramo;26/09/2023;Bari;Altamura;O3;79
Altamura - Via Santeramo;27/09/2023;Bari;Altamura;O3;91
Altamura - Via Santeramo;28/09/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;29/09/2023;Bari;Altamura;O3;102
Altamura - Via Santeramo;30/09/2023;Bari;Altamura;O3;97
Altamura - Via Santeramo;01/10/2023;Bari;Altamura;O3;100
Altamura - Via Santeramo;02/10/2023;Bari;Altamura;O3;83
Altamura - Via Santeramo;03/10/2023;Bari;Altamura;O3;80
Altamura - Via Santeramo;04/10/2023;Bari;Altamura;O3;88
Altamura - Via Santeramo;05/10/2023;Bari;Altamura;O3;96
Altamura - Via Santeramo;06/10/2023;Bari;Altamura;O3;89
Altamura - Via Santeramo;07/10/2023;Bari;Altamura;O3;92
Altamura - Via Santeramo;08/10/2023;Bari;Altamura;O3;108
Altamura - Via Santeramo;09/10/2023;Bari;Altamura;O3;92
Altamura - Via Santeramo;10/10/2023;Bari;Altamura;O3;93
Altamura - Via Santeramo;11/10/2023;Bari;Altamura;O3;97
Altamura - Via Santeramo;12/10/2023;Bari;Altamura;O3;85
Altamura - Via Santeramo;13/10/2023;Bari;Altamura;O3;94
Altamura - Via Santeramo;14/10/2023;Bari;Altamura;O3;96
Altamura - Via Santeramo;15/10/2023;Bari;Altamura;O3;86
Altamura - Via Santeramo;16/10/2023;Bari;Altamura;O3;71
Altamura - Via Santeramo;17/10/2023;Bari;Altamura;O3;54
Altamura - Via Santeramo;18/10/2023;Bari;Altamura;O3;70
Altamura - Via Santeramo;19/10/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;20/10/2023;Bari;Altamura;O3;63
Altamura - Via Santeramo;21/10/2023;Bari;Altamura;O3;0
Altamura - Via Santeramo;22/10/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;23/10/2023;Bari;Altamura;O3;82
Altamura - Via Santeramo;24/10/2023;Bari;Altamura;O3;60
Altamura - Via Santeramo;25/10/2023;Bari;Altamura;O3;57
Altamura - Via Santeramo;26/10/2023;Bari;Altamura;O3;70
Altamura - Via Santeramo;27/10/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;28/10/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;29/10/2023;Bari;Altamura;O3;83
Altamura - Via Santeramo;30/10/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;31/10/2023;Bari;Altamura;O3;74
Altamura - Via Santeramo;01/11/2023;Bari;Altamura;O3;71
Altamura - Via Santeramo;02/11/2023;Bari;Altamura;O3;73
Altamura - Via Santeramo;03/11/2023;Bari;Altamura;O3;79
Altamura - Via Santeramo;04/11/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;05/11/2023;Bari;Altamura;O3;78
Altamura - Via Santeramo;06/11/2023;Bari;Altamura;O3;70
Altamura - Via Santeramo;07/11/2023;Bari;Altamura;O3;52
Altamura - Via Santeramo;08/11/2023;Bari;Altamura;O3;66
Altamura - Via Santeramo;09/11/2023;Bari;Altamura;O3;69
Altamura - Via Santeramo;10/11/2023;Bari;Altamura;O3;71
Altamura - Via Santeramo;11/11/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;12/11/2023;Bari;Altamura;O3;58
Altamura - Via Santeramo;13/11/2023;Bari;Altamura;O3;55
Altamura - Via Santeramo;14/11/2023;Bari;Altamura;O3;52
Altamura - Via Santeramo;15/11/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;16/11/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;17/11/2023;Bari;Altamura;O3;72
Altamura - Via Santeramo;18/11/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;19/11/2023;Bari;Altamura;O3;73
Altamura - Via Santeramo;20/11/2023;Bari;Altamura;O3;47
Altamura - Via Santeramo;21/11/2023;Bari;Altamura;O3;42
Altamura - Via Santeramo;22/11/2023;Bari;Altamura;O3;45
Altamura - Via Santeramo;23/11/2023;Bari;Altamura;O3;55
Altamura - Via Santeramo;24/11/2023;Bari;Altamura;O3;47
Altamura - Via Santeramo;25/11/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;26/11/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;27/11/2023;Bari;Altamura;O3;50
Altamura - Via Santeramo;28/11/2023;Bari;Altamura;O3;71
Altamura - Via Santeramo;29/11/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;30/11/2023;Bari;Altamura;O3;65
Altamura - Via Santeramo;01/12/2023;Bari;Altamura;O3;63
Altamura - Via Santeramo;02/12/2023;Bari;Altamura;O3;66
Altamura - Via Santeramo;03/12/2023;Bari;Altamura;O3;71
Altamura - Via Santeramo;04/12/2023;Bari;Altamura;O3;57
Altamura - Via Santeramo;05/12/2023;Bari;Altamura;O3;51
Altamura - Via Santeramo;06/12/2023;Bari;Altamura;O3;55
Altamura - Via Santeramo;07/12/2023;Bari;Altamura;O3;53
Altamura - Via Santeramo;08/12/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;09/12/2023;Bari;Altamura;O3;59
Altamura - Via Santeramo;10/12/2023;Bari;Altamura;O3;53
Altamura - Via Santeramo;11/12/2023;Bari;Altamura;O3;54
Altamura - Via Santeramo;12/12/2023;Bari;Altamura;O3;61
Altamura - Via Santeramo;13/12/2023;Bari;Altamura;O3;47
Altamura - Via Santeramo;14/12/2023;Bari;Altamura;O3;46
Altamura - Via Santeramo;15/12/2023;Bari;Altamura;O3;58
Altamura - Via Santeramo;16/12/2023;Bari;Altamura;O3;56
Altamura - Via Santeramo;17/12/2023;Bari;Altamura;O3;63
Altamura - Via Santeramo;18/12/2023;Bari;Altamura;O3;52
Altamura - Via Santeramo;19/12/2023;Bari;Altamura;O3;53
Altamura - Via Santeramo;20/12/2023;Bari;Altamura;O3;45
Altamura - Via Santeramo;21/12/2023;Bari;Altamura;O3;58
Altamura - Via Santeramo;22/12/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;23/12/2023;Bari;Altamura;O3;63
Altamura - Via Santeramo;24/12/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;25/12/2023;Bari;Altamura;O3;63
Altamura - Via Santeramo;26/12/2023;Bari;Altamura;O3;59
Altamura - Via Santeramo;27/12/2023;Bari;Altamura;O3;52
Altamura - Via Santeramo;28/12/2023;Bari;Altamura;O3;55
Altamura - Via Santeramo;29/12/2023;Bari;Altamura;O3;61
Altamura - Via Santeramo;30/12/2023;Bari;Altamura;O3;56
Altamura - Via Santeramo;31/12/2023;Bari;Altamura;O3;44
Altamura - Via Santeramo;01/01/2024;Bari;Altamura;O3;60
Altamura - Via Santeramo;02/01/2024;Bari;Altamura;O3;60
Altamura - Via Santeramo;03/01/2024;Bari;Altamura;O3;65
Altamura - Via Santeramo;04/01/2024;Bari;Altamura;O3;71
Altamura - Via Santeramo;05/01/2024;Bari;Altamura;O3;56
Altamura - Via Santeramo;06/01/2024;Bari;Altamura;O3;66
Altamura - Via Santeramo;07/01/2024;Bari;Altamura;O3;61
Altamura - Via Santeramo;08/01/2024;Bari;Altamura;O3;51
Altamura - Via Santeramo;09/01/2024;Bari;Altamura;O3;52
Altamura - Via Santeramo;10/01/2024;Bari;Altamura;O3;42
Altamura - Via Santeramo;11/01/2024;Bari;Altamura;O3;43
Altamura - Via Santeramo;12/01/2024;Bari;Altamura;O3;63
Altamura - Via Santeramo;13/01/2024;Bari;Altamura;O3;67
Altamura - Via Santeramo;14/01/2024;Bari;Altamura;O3;63
Altamura - Via Santeramo;15/01/2024;Bari;Altamura;O3;52
Altamura - Via Santeramo;16/01/2024;Bari;Altamura;O3;64
Altamura - Via Santeramo;17/01/2024;Bari;Altamura;O3;50
Altamura - Via Santeramo;18/01/2024;Bari;Altamura;O3;73
Altamura - Via Santeramo;19/01/2024;Bari;Altamura;O3;74
Altamura - Via Santeramo;20/01/2024;Bari;Altamura;O3;68
Altamura - Via Santeramo;21/01/2024;Bari;Altamura;O3;76
Altamura - Via Santeramo;22/01/2024;Bari;Altamura;O3;61
Altamura - Via Santeramo;23/01/2024;Bari;Altamura;O3;56
Altamura - Via Santeramo;24/01/2024;Bari;Altamura;O3;61
Altamura - Via Santeramo;25/01/2024;Bari;Altamura;O3;61
Altamura - Via Santeramo;26/01/2024;Bari;Altamura;O3;62
Altamura - Via Santeramo;27/01/2024;Bari;Altamura;O3;65
Altamura - Via Santeramo;28/01/2024;Bari;Altamura;O3;70
Altamura - Via Santeramo;29/01/2024;Bari;Altamura;O3;70
Altamura - Via Santeramo;30/01/2024;Bari;Altamura;O3;60
Altamura - Via Santeramo;31/01/2024;Bari;Altamura;O3;71
Altamura - Via Santeramo;01/02/2024;Bari;Altamura;O3;80
Altamura - Via Santeramo;02/02/2024;Bari;Altamura;O3;69
Altamura - Via Santeramo;03/02/2024;Bari;Altamura;O3;75
Altamura - Via Santeramo;04/02/2024;Bari;Altamura;O3;79
Altamura - Via Santeramo;05/02/2024;Bari;Altamura;O3;64
Altamura - Via Santeramo;06/02/2024;Bari;Altamura;O3;70
Altamura - Via Santeramo;07/02/2024;Bari;Altamura;O3;65
Altamura - Via Santeramo;08/02/2024;Bari;Altamura;O3;70
Altamura - Via Santeramo;09/02/2024;Bari;Altamura;O3;69
Altamura - Via Santeramo;10/02/2024;Bari;Altamura;O3;74
