NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Altamura - Via Santeramo;29/07/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;30/07/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;31/07/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;01/08/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;02/08/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;03/08/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;04/08/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;05/08/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;06/08/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;07/08/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;08/08/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;09/08/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;10/08/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;11/08/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;12/08/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;13/08/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;14/08/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;15/08/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;16/08/2023;Bari;Altamura;PM10;23;7
Altamura - Via Santeramo;17/08/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;18/08/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;19/08/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;20/08/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;21/08/2023;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;22/08/2023;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;23/08/2023;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;24/08/2023;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;25/08/2023;Bari;Altamura;PM10;32;7
Altamura - Via Santeramo;26/08/2023;Bari;Altamura;PM10;34;7
Altamura - Via Santeramo;27/08/2023;Bari;Altamura;PM10;31;7
Altamura - Via Santeramo;28/08/2023;Bari;Altamura;PM10;34;7
Altamura - Via Santeramo;29/08/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;30/08/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;31/08/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;01/09/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;02/09/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;03/09/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;04/09/2023;Bari;Altamura;PM10;23;7
